ANNO;TRIMESTRE;MES_DEL_TRIMESTRE;ID_EMPRESA;EMPRESA;ID_MODALIDAD_PAGO;MODALIDAD_PAGO;ID_TERMINAL;TERMINAL;ID_TECNOLOGIA;TECNOLOGIA;CANTIDAD_ABONADOS
2012;1;1;900367669;UFF MOVIL SAS;PRE;Prepago;1;Teléfono móvil;2;3G;14899
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;1;2G;54637
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;2;3G;172006
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;3;4G;0
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;1;2G;2063
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;2;3G;5388
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;3;4G;0
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;1;2G;62591
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;2;3G;62591
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;3;4G;0
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;1;2G;32943
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;2;3G;6588
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;3;4G;0
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;1;2G;27454
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;2;3G;981171
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;3;4G;0
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;1;2G;0
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;2;3G;0
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;3;4G;0
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;1;2G;336039
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;2;3G;321372
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;3;4G;0
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;1;2G;18
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;2;3G;20
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;3;4G;0
2012;1;2;900367669;UFF MOVIL SAS;PRE;Prepago;1;Teléfono móvil;2;3G;14566
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;1;2G;58544
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;2;3G;187973
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;3;4G;0
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;1;2G;2265
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;2;3G;5917
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;3;4G;0
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;1;2G;72587
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;2;3G;74977
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;3;4G;0
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;1;2G;37886
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;2;3G;7876
2012;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;3;4G;0
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;1;2G;50772
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;2;3G;941438
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;3;4G;0
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;1;2G;0
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;2;3G;1
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;3;4G;0
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;1;2G;317
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;2;3G;302224
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;3;4G;0
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;1;2G;19
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;2;3G;22
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;3;4G;0
2012;1;3;900367669;UFF MOVIL SAS;PRE;Prepago;1;Teléfono móvil;2;3G;16717
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;1;2G;61563
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;2;3G;202
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;3;4G;0
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;1;2G;2443
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;2;3G;6378
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;3;4G;0
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;1;2G;82325
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;2;3G;87812
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;3;4G;0
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;1;2G;42599
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;2;3G;9205
2012;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;3;4G;0
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;1;Teléfono Móvil;1;2G;205131
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;1;Teléfono Móvil;2;3G;111776
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;1;Teléfono Móvil;3;4G;0
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;2;Data Card;1;2G;0
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;2;Data Card;2;3G;21527
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;2;Data Card;3;4G;0
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;1;Teléfono Móvil;1;2G;40849
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;1;Teléfono Móvil;2;3G;19556
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;1;Teléfono Móvil;3;4G;0
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;2;Data Card;1;2G;0
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;2;Data Card;2;3G;1295
2012;1;3;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;2;Data Card;3;4G;0
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;1;2G;53447
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;2;3G;1012415
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;3;4G;0
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;1;2G;0
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;2;3G;1
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;3;4G;0
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;1;2G;323711
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;2;3G;323076
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;3;4G;0
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;1;2G;23
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;2;3G;23
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;3;4G;0
2012;2;1;900367669;UFF MOVIL SAS;PRE;Prepago;1;Teléfono móvil;2;3G;17249
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;1;2G;63848
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;2;3G;213435
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;3;4G;0
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;1;2G;2598
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;2;3G;6784
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;3;4G;0
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;1;2G;91802
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;2;3G;101095
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;3;4G;0
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;1;2G;47082
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;2;3G;10576
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;2;Data Card;3;4G;0
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;1;Teléfono Móvil;1;2G;215561
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;1;Teléfono Móvil;2;3G;112714
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;1;Teléfono Móvil;3;4G;0
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;2;Data Card;1;2G;0
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;2;Data Card;2;3G;20718
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;PRE;PREPAGO;2;Data Card;3;4G;0
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;1;Teléfono Móvil;1;2G;40004
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;1;Teléfono Móvil;2;3G;19476
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;1;Teléfono Móvil;3;4G;0
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;2;Data Card;1;2G;0
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;2;Data Card;2;3G;1208
2012;2;1;830114921;COLOMBIA MOVIL S.A. E.S.P.;POS;POSPAGO;2;Data Card;3;4G;0
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;1;2G;32344
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;2;3G;960403
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Teléfono móvil;3;4G;0
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;1;2G;0
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;2;3G;1
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;PRE;PREPAGO;2;Data card;3;4G;0
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;1;2G;336
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;2;3G;304624
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Teléfono móvil;3;4G;0
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;1;2G;24
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;2;3G;24
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;POS;POSPAGO;2;Data card;3;4G;0
2012;2;2;900367669;UFF MOVIL SAS;PRE;Prepago;1;Teléfono móvil;2;3G;18552
2012;2;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;1;2G;65524
2012;2;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;2;3G;223594
2012;2;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;1;Teléfono móvil;3;4G;0
2012;2;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;1;2G;2736
2012;2;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;2;3G;7
2012;2;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;POS;Pospago;2;Data Card;3;4G;0
2012;2;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;PRE;Prepago;1;Teléfono móvil;1;2G;101
